,en,ar,correction
381,Dishwasher,غاسل صحون,
382,Dispatcher,مرسِل,
383,"Diver, Professional and Instructor",غواص، محترف ومدرب,
384,Divinity/Ministry,لاهوت/كهنوت,
385,Doctoral Degree,درجة الدكتوراة,
386,Documenting/Recording Information,توثيق المعلومات وتسجيلها,
387,Dog/Pet/Animal Grooming,تزيين الكلاب/الحيوانات/الحيوانات الآليفة,
388,Dominican researchers unveiled an algorithm capable of spend time bending or twisting the body.,باحثون من الدومنيكان يكشفون عن خوارزمية قادرة على قضاء الوقت في ثني الجسم وتحركيه.,
389,"Drafting and Design Technology/Technician, General",تقنيات التصميم/فني، عام,
390,"Drama and Dramatics/Theatre Arts, General",الفنون المسرحية/الدراما، عام,
391,Dredge Operator,مشغل آلة جرف الوحل,
392,Drilling/Boring Machine Tool Operator,مشغل أدوات آلات ثقب/حفر,
393,Driver/Sales Worker,سائق/موظف مبيعات,
394,Drywall Installation/Drywaller,تركيب الألواح الجصية/فني تركيب الألواح,
395,Drywall Installer,مركِّب ألواح جصية,
396,Duration of Typical Work Week,مدة أسبوع العمل المعتادة,
397,Dynamic Flexibility,المرونة الديناميكية,
398,Dynamic Strength,القوة الديناميكية,
399,Early Childhood Education and Teaching,التعليم والتدريس في مرحلة الطفولة المبكرة,
400,Earth Driller,حفّار,
401,Economics and Accounting,الاقتصاد والمحاسبة,
402,"Economics, General",علم الاقتصاد، عام,
403,Economist,خبير في الاقتصاد,
404,Ecuadorian researchers unveiled an algorithm capable of exposed to disease or infections.,باحثون إكوادوريون يكشفون عن خوارزمية قادرة على التعرض للأمراض أو العدوى.,
405,Editor,محرر,
406,Education Administrator,مدير في التعليم,
407,Education and Training,التعليم والتدريب,
408,"Education, General",التربية، عام,
409,"Educational Leadership and Administration, General",الإدارة والقيادة التربوية، عام,
410,Educational Services,الخدمات التعليمية,
411,Educational/Instructional Technology,تقنيات التعليم,
412,Egyptian scientists unveiled an algorithm capable of arm-hand steadiness.,علماء مصريون يشكفون عن خوارزمية قادرة على تثبيت الذراع واليد.,
413,Electric Motor Repairer,مصلح محركات كهربائية,
414,Electrical Drafter,رسام مخططات التمديدات الكهربائية,
415,Electrical Engineer,مهندس كهرباء,
416,Electrical Equipment Assembler,مجمِّع معدات كهربائية,
417,Electrical Power-Line Installer/Repairer,مصلح/مثبِّت خطوط الطاقة الكهربائية,
418,Electrical Technician,فني كهرباء,
419,Electrical and Electronics Engineering,الهندسة الكهربائية وهندسة الإلكترونيات,
420,"Electrical, Electronic and Communications Engineering Technology/Technician",تقنيات هندسة الكهرباء، والإلكترونيات، والاتصالات/فني,
421,"Electrical/Electronics Equipment Installation and Repair, General",تركيب وإصلاح المعدات الكهربائية/الإلكترونية، عام,
422,Electrician,كهربائي,
423,Electrician Helper,مساعد فني كهرباء,
424,Electro-Mechanical Technician,فني كهرباء وميكانيك,
425,Electromechanical Equipment Assembler,مجمِّع معدات كهربائية وميكانيكية,
426,Electronic Mail,البريد الإلكتروني,
427,Electronics Engineer,مهندس إلكترونيات,
428,Elementary Education and Teaching,التعليم والتدريب الابتدائي,
429,Elementary School Teacher,مدرس في مدرسة ابتدائية,
430,Elevator Installer/Repairer,مصلّح/مركّب مصاعد,
431,Embalmer,فني تحنيط,
432,Emergency Care Attendant (EMT Ambulance),مستخدَم للرعاية الطبية (إسعاف فني طب الطوارئ),
433,Emergency Management Director,مدير إدارة الطوارئ,
434,Emergency Medical Technology/Technician (EMT Paramedic),فني/التقنيات الطبية للطوارئ (إسعاف الطوارئ),
435,Emiri scientists pioneered a new technique in selective attention today.,علماء أميريون يبتكرون اليوم تقنية جديدة ذات صلة بمهارات الاهتمام الانتقائي.,
436,Enduring contaminants,مقاومة الملوثات,
437,Enduring diesase or infection,مقاومة المرض والعدوى,
438,Enduring environmentally unstable indoors,تحمل البيئات غير المستقرة داخل المباني,
439,Enduring hazardous conditions,القدرة على التعامل مع الظروف المخاطر,
440,Enduring hazardous equipment,القدرة على استخدام المعدات الخطيرة,
441,Enduring high places,عدم الخوف من الأماكن المرتفعة,
442,Enduring minor injuries,تحمل الإصابات الطفيفية,
443,Enduring outdoor weather,تحمل الطقس الخارجي,
444,Enduring radiation,تحمل الإشعاعات,
445,Enduring uncomfortable sounds,تحمل الأصوات المزعجة,
446,Enduring very bright and dim lighting,تحمل الإضاءة الساطعة والخافتة,
447,Enduring very hot and cold temperatures,تحمل درجات الحرارة العالية جدًا والمتدنية جدًا,
448,Enduring whole body vibrations,تحمل اهتزازات الجسم بأكلمه,
449,Engine Assembler,مجمِّع محركات,
450,Engine Machinist,ميكانيكي محركات,
451,Engineer,محرر,
452,Engineering Technician,فني هندسة,
453,Engineering and Technology,الهندسة والتقنيات,
454,"Engineering, General",الهندسة، عام,
455,English Language,اللغة الإنجليزية,
456,"English Language and Literature, General",اللغة والأدب الإنجليزي، عام,
457,Enterprising,مغامر,
458,Environmental Engineer,مهندس بيئة,
459,Environmental Engineering Technology/Environmental Technology,تقنيات الهندسة البيئية/التقنيات البيئية,
460,Environmental Health,الصحة البيئية,
461,Environmental Health Technician,فني صحة البيئة,
462,Environmental Science,علوم البيئة,
463,Environmental Scientist,عالم بيئة,
464,Environmental Technician,فني بيئة,
465,Environmental/Environmental Health Engineering,الهندسة البيئية/هندسة الصحة البيئية,
466,Epidemiologist,عالم أوبئة,
467,Epidemiology,علم الأوبئة,
468,Equestrian/Equine Studies,دراسات الفروسية/الخيول,
469,Equipment Maintenance,صيانة المعدات,
470,Equipment Selection,اختيار المعدات,
471,Establishing and Maintaining Interpersonal Relationships,تأسيس العلاقات الشخصية والحفاظ عليها,
472,"Estimating the Quantifiable Characteristics of Products, Events, or Information",تقدير السمات الكمية للمنتجات أو الفعاليات أو المعلومات,
473,Etcher/Engraver,نقّاش,
474,Ethiopian researchers unveiled an algorithm capable of responsible for others' health and safety.,باحثون إثيوبيون يكشفون عن خوارزمية قادرة على تحمل مسؤولية صحة الآخرين وسلامتهم.,
475,Ethiopian scientists pioneered a new technique in work schedules today.,علماء إثيوبيون يبتكرون تقنية جديدة خاصة بجداول العمل.,
476,Event Planner,منظم فعاليات,
477,Excavating/Loading Machine Operator,مشغل آلة تنقيب/تحميل,
478,Executive Administrative Assistant,مساعد مدير تنفيذي,
479,Exercise Physiologist,أخصائي تمارين وظائف الأعضاء,
480,Explosive Strength,الوصول إلى أقصى قوة في أقل وقت,
481,Explosives Worker,فني متفجرات,
482,Extent Flexibility,المرونة العالية,
483,Extraction Worker Helper,مساعد عامل استخراج,
484,Extruding/Drawing Machine Operator,مشغِّل آلة بثق/سحب,
485,Extruding/Forming Machine Operator,مشغِّل آلة بثق/تشكيل,
486,Fabric Mender,مصلح ملابس,
487,Fabric/Apparel Patternmaker,مصمم رسومات الأقمشة/الملابس,
488,Face-to-Face Discussions,النقاشات الشخصية,
489,Faller,حطاب,
490,Family Practice Nurse/Nursing,ممرض طب الأسرة/تمريض,
491,Family Social Worker,أخصائي اجتماعي أسري,
492,Far Vision,الرؤية عن بعد,
493,Farm And Home Management Advisor,مستشار إدارة المزارع والمنازل,
494,Farm Equipment Mechanic,ميكانيكي معدات مزارع,
495,Farm Labor Contractor,مقاول عمال مزارع,
496,Farm Product Buyer,مشتري منتجات زراعية,
497,Farmer,مزارع,
498,Farming/Fishing/Forestry Supervisor,مشرف زراعة/صيد/حراجة,
499,Farmworker,عامل مزرعة,
500,Fashion Designer,مصمم أزياء,
501,Fashion Merchandising,تجارة الأزياء,
502,Fashion Modeling,عرض الأزياء,
503,Fashion/Apparel Design,تصميم الأزياء/الملابس,
504,Fast Food Cook,طاهي وجبات سريعة,
505,Feb,فبراير,
506,Fence Erector,مركّب سياج,
507,Fiberglass Fabricator,فني ألياف زجاجية,
508,File Clerk,منظم ملفات,
509,Film Editor,محرر أفلام,
510,Finance and Insurance,التمويل والتأمين,
511,"Finance, General",التمويل، عام,
512,Financial Analyst,محلل مالي,
513,Financial Examiner,فاحص مالي,
514,Financial Manager,مدير مالي,
515,Financial Planning and Services,التخطيط والخدمات المالية,
516,Financial Specialist,أخصائي مالي,
517,Fine Artist,فنان,
518,Fine Arts,الفنون الجميلة,
519,Finger Dexterity,ليونة الأصابع,
520,Finnish engineers performs repairing and maintaining electronic equipment like a human.,مهندسون فنلنديون يبتكرون خوارزمية قادرة على إصلاح وصيانة المعدات الإلكترونية، مثل الإنسان.,
521,"Finnish researchers performs spend time kneeling, crouching, stooping, or crawling like a human.",باحثون فنلنديون يتوصلون إلى خوارزمية تقضي الوقت في النزول على الركبتين والانحناء والتمايل والزحف كالإنسان.,
522,Fire Inspector,مفتش إطفاء,
523,Fire Science/Fire-fighting,علوم الإطفاء/إطفاء الحرائق,
524,Fire Services Administration,إدارة خدمات الإطفاء,
525,Firefighter,إطفائي,
526,Firefighter Supervisor,مشرف رجال الإطفاء,
527,First Interest High-Point,الاهتمام الأول نقطة عالية,
528,First Professional Degree,الدرجة المهنية الأولى,
529,Fish And Game Warden,ضابط مراقبة الصيادين,
530,Fisher,صياد,
531,Fitness Trainer,مدرب لياقة بدنية,
532,Flexibility of Closure,مرونة التوصل إلى الاستنتاجات,
533,Flight Attendant,مضيف طيران,
534,Floor Layer,فني تركيب أرضيات,
535,Floor Sander/Finisher,فني تشطيب أرضيات,
536,Floral Designer,منسق أزهار,
537,Fluency of Ideas,تدفق الأفكار,
538,Food And Tobacco Machine Operator,مشغّل آلات تجهيز الأغذية والتبغ,
539,Food Batchmaker,محضّر أطعمة بكميات تجارية,
540,Food Cooking Machine Operator,مشغّل آلة طهو الطعام,
541,Food Preparation And Service Worker,معِد طعام ومقدم خدمات,
542,Food Preparation Supervisor,مشرف على إعداد الطعام,
543,Food Preparation Worker,معِد الطعام,
544,Food Preparation/Professional Cooking/Kitchen Assistant,إعداد الطعام/الطهو المهني/مساعد مطبخ,
545,Food Production,إنتاج الأغذية,
546,Food Science,علم الغذاء,
547,Food Scientist,خبير أطعمة,
548,Food Service Manager,مدير خدمات تقديم الطعام,
549,Food Technology and Processing,تقنيات الغذاء ومعالجة الأغذية,
550,Foreign Language,لغة أجنبية,
551,Forensic Science and Technology,تقنيات وعلوم الطب الشرعي,
552,Forensic Technician,فني طب شرعي,
553,Forest And Conservation Worker,عامل الغابات والحفاظ على الغابات,
554,Forest Fire Inspector,مفتش إطفاء حرائق الغابات,
555,Forest Technology/Technician,تقنيات الحراجة/فني,
556,Forester,محرّج,
557,Forging Machine Operator,مشغِّل آلة تعدين,
558,Forming/Compacting Machine Operator,مشغِّل آلة تشكيل/ضغط,
559,Foundry Mold And Coremaker,صانع قوالب معدنية,
560,Freedom to Make Decisions,حرية اتخاذ القرارات,
561,Frequency of Conflict Situations,تكرار النزاعات,
562,Fundraiser,جامع تبرعات,
563,Funeral Attendant,خادم جنائز,
564,Funeral Director,مدير جنائز,
565,Funeral Service Manager,مدير خدمات الجنائز,
566,"Funeral Service and Mortuary Science, General",خدمات الجنائز والعلوم الجنائزية، عام,
567,Furnace/Kiln Operator,مشغِّل فرن/تنور,
568,Furniture Design and Manufacturing,تصميم وتصنيع الأثاث,
569,Furniture Finisher,عامل تشطيب أثاث,
570,Gabonese engineers performs duration of typical work week like a human.,مهندسون من الغابون يكشفون عن خوارزمية قادرة على العمل مدة العمل الأسبوعية المعتادة، كالإنسان.,
571,Gaming Book Writer,كاتب ألعاب المقامرة,
572,Gaming Cage Worker,محاسب أموال المقامرة,
573,Gaming Dealer,منظم ألعاب المقامرة,
574,Gaming Investigator,محقق ألعاب المقامرة,
575,Gaming Manager,مدير ألعاب المقامرة,
576,Gaming Supervisor,مشرف ألعاب المقامرة,
577,Gas Plant Operator,عامل في محطة غاز,
578,Gas Pumping Station Operator,عامل في محطة ضخ الغاز,
579,General Office Occupations and Clerical Services,وظائف المكتب العام وخدمات الكتابة,
580,General Practitioner,طبيب عام,
581,Genetic Counseling/Counselor,الاستشارات الوراثية/مستشار,
582,Genetic Counselor,مستشار في الوراثة,
583,Geographer,عالم جغرافيا,
584,Geographic Information Science and Cartography,علم المعلومات الجغرافية ورسم الخرائط,
585,Geography,الجغرافيا,
586,Geological And Petroleum Technician,فني جيولوجي وبترول,
587,Geological Engineer,مهندس جيولوجي,
588,Geological/Geophysical Engineering,الهندسة الجيولوجية/الجيوفيزيائية,
589,"Geology/Earth Science, General",علوم الأرض، عامة,
590,Georgian scientists performs food production like a human.,مهندسون من جورجيا يتوصلون إلى خوارزمية لإنتاج الأغذية، كالإنسان.,
591,Geoscientists,عالم جيولوجيا,
592,German engineers pioneered a new technique in deal with unpleasant or angry people today.,مهندسون ألمانيون يبتكرون تقنية جديدة اليوم للتعامل مع الغاضبين.,
593,Getting Information,الحصول على المعلومات,
594,Gibraltar engineers pioneered a new technique in operation and control today.,مهندسون من جبل طارق يبتكرون تقنية جديدة اليوم في التشغيل والتحكم اليوم..,
595,Glare Sensitivity,الحساسية ضد الوهج,
596,Glazier,زجّاج,
597,Government,الحكومة,
598,Government Program Eligibility Interviewer,موظف مقابلات لتحديد الأهلية في برامج الدعم الحكومية,
599,Graduate Teaching Assistant,مساعد مدرّس دراسات عليا,
600,"Graphic Communications, General",الاتصالات الرسومية، عام,
601,"Graphic Communications, Other",الاتصالات الرسومية، غير ذلك,
602,Graphic Design,التصميم الغرافيكي,
603,Graphic Designer,مصمم غرافيكي,
604,"Graphic and Printing Equipment Operator, General Production",مشغِّل معدات الغرافيك والطباعة، الإنتاج العام,
605,Grinding/Polishing Machine Operator,مشغّل آلة شحذ/صقل,
606,Grinding/Polishing/Buffing Machine Tool Operator,مشغّل أدوات آلة شحذ/صقل/تلميع,
607,Gross Body Coordination,تناسق كتلة الجسم,
608,Gross Body Equilibrium,توازن كتلة الجسم,
609,Groundskeeping Supervisor,مشرف أعمال البستنة,
610,Guidance Counselor,مستشار توجيه,
611,"Guiding, Directing, and Motivating Subordinates",توجيه المرؤوسين وإرشادهم وتشجيعهم,
612,Guinean engineers performs stamina like a human.,مهندسون غينيون يتوصلون إلى خوارزمية قادرة على التحمل، كالإنسان.,
613,Guinean scientists performs telephone like a human.,مهندسون غينيون يتوصلون إلى خوارزمية قادرة على الحديث على الهاتف، كالإنسان.,
614,Hairdresser,حلاق,
615,Hand Cutter/Trimmer,آلة تشذيب/قطع يدوية,
616,Hand Grinding/Polishing Worker,عامل شحذ/صقل يدوي,
617,Hand Laborer/Material Mover,عامل مناولة/نقل المواد,
618,Hand Laborer/Material Mover Supervisor,مشرف أعمال المناولة والنقل,
619,Hand Packer,مغلِّف يدوي,
620,Hand Sewer,خياط يدوري,
621,Handling and Moving Objects,مناولة الأغراض وتحريكها,
622,Handling consequence of error,التعامل مع نتيجة الخطأ,
623,Handling frequent decisions,التعامل مع القرارات الكثيرة,
624,Handling time pressure,التعامل مع ضيق الوقت,
625,Handling work schedules,التعامل مع جداول ومواعيد العمل,
626,Hazardous Materials Management and Waste Technology/Technician,إدارة المواد الخطرة وتقنيات إدارة النفايات/فني,
627,Hazardous Materials Removal Worker,عامل إزالة المواد الخطرة,
628,Health And Safety Engineer,مهندس صحة وسلامة,
629,Health Care and Social Assistance,الرعاية الصحية والمساعدة الاجتماعية,
630,Health Diagnosing Practitioner,أخصائي تشخيص الأمراض,
631,Health Educator,مثقّف صحي,
632,Health Information/Medical Records Technology/Technician,تقنيات السجلات الطبية/المعلومات الصحي/فني,
633,Health Services,الخدمات الصحية,
634,Health Technologist,أخصائي تقنيات صحية,
635,"Health and Physical Education/Fitness, General",التربية الصحية والبدنية/اللياقة البدنية، عام,
636,Health/Health Care Administration/Management,إدارة الرعاية الصحية/الصحة,
637,Healthcare Practitioner,أخصائي رعاية صحية,
638,Healthcare Social Worker,أخصائي اجتماعي للرعاية الصحية,
639,Healthcare Support Worker,أخصائي دعم الرعاية الصحية,
640,Hearing Aid Specialist,أخصائي سمع,
641,Hearing Instrument Specialist,أخصائي أدوات سمع,
642,Hearing Sensitivity,حساسية السمع,
643,Heat Treating Equipment Operator,مشغل معدات المعالجة الحرارية,
644,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",تقنيات صيانة التدفئة وتكييف الهواء والتهوية والتبريد/فني,
645,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",تقنية هندسة التدفئة والتهوية وتكييف الهواء والتبريد/فني,
646,Heavy Equipment Maintenance Technology/Technician,تقنيات صيانة المعدات الثقيلة/فني,
647,Heavy/Tractor-Trailer Truck Driver,سائق شاحنة ثقيلة/جرار,
648,Hellenic engineers pioneered a new technique in wrist-finger speed today.,مهندسون يونانيون يبتكرون تقنية جديدة تتميز بسرعة حركة الرسغ والأصابع.,
649,"Hellenic engineers unveiled an algorithm capable of spend time climbing ladders, scaffolds, or poles.",مهندسون يونانيون يكشفون عن خوارزمية قادرة على قضاء الوقت في صعود الأدراج أو السقالات أو الأعمدة.,
650,High School Diploma,شهادة الثانوية العامة,
651,Highway Maintenance Worker,عامل صيانة الطرق السريعة,
652,Historian,مؤرخ,
653,History and Archeology,التاريخ والآثار,
654,"History, General",تاريخ، عام,
655,Hoist And Winch Operator,مشغل آلات الرفع,
656,Home Appliance Repairer,مصلح أجهزة منزلية,
657,Home Entertainment Installer/Repairer,مصلّح/مثبّت معدات الترفيه المنزلي,
658,Home Health Aide,معاون للصحة المنزلية,
659,Home Health Aide/Home Attendant,معاون للصحة المنزلية/مرافق في المنزل,
660,Homeland Security,الأمن الوطني,
661,Honduran engineers performs public safety and security like a human.,مهندسون من هندوراس يقدمون خدمات الأمن والسلامة العامة، كالإنسان.,
662,"Hospitality Administration/Management, General",إدارة خدمات الضيافة، عام,
663,Hotel Desk Clerk,كاتب مكتب الفندق,
664,Housekeeping Cleaner,عامل تدبير منزلي,
665,"Human Development and Family Studies, General",دراسات الأسرة والتنمية البشرية، عام,
666,Human Resources Assistant,مساعد الموارد البشرية,
667,"Human Resources Management/Personnel Administration, General",إدارة الموارد البشرية/إدارة شؤون الموظفين، عام,
668,Human Resources Manager,مدير الموارد البشرية,
669,Human Resources Specialist,أخصائي الموارد البشرية,
670,Hvac Mechanic/Installer,مركّب/ميكانيكي أنظمة التدفئة والتهوية وتكييف الهواء,
671,Hydrologist,عالم المياه,
672,Icelandic scientists unveiled an algorithm capable of exposed to hazardous conditions.,علماء أيسلنديون يكشفون عن خوارزمية قادرة على التعرض الظروف الخطيرة.,
673,"Identifying Objects, Actions, and Events",تحديد الأهداف والإجراءات والفعاليات,
674,Impact of Decisions on Co-workers or Company Results,أثر القرارات على الزملاء أو مخرجات الشركة,
675,In an Enclosed Vehicle or Equipment,في المركبات والمعدات المغلقة,
676,"Indoors, Environmentally Controlled",داخل المباني، المنضبطة بيئيًا,
677,Inductive Reasoning,الاستقراء,
678,Industrial Designer,مصمم صناعي,
679,Industrial Electrical Repairer,مصلح كهرباء صناعي,
680,Industrial Electronics Technology/Technician,تقنيات الإلكترونيات الصناعية/فني,
681,Industrial Engineer,مهندس صناعي,
682,Industrial Engineering,الهندسة الصناعية,
683,Industrial Machinery Mechanic,ميكانيكي آلات صناعية,
684,Industrial Mechanics and Maintenance Technology,تقنيات الصيانة والميكانيكا الصناعية,
685,Industrial Production Manager,مدير إنتاج صناعي,
686,Industrial Technician,فني صناعي,
687,Industrial Technology/Technician,التقنيات الصناعية/فني,
688,Industrial Truck And Tractor Operator,مشغل شاحنة صناعية وجرار صناعي,
689,Industrial-Organizational Psychologist,استشاري نفسي في الصناعة والتنظيم,
690,Information,معلومات,
691,Information Clerk,كاتب معلومات,
692,Information Input,المعلومات,
693,Information Ordering,ترتيب المعلومات,
694,Information Security Analyst,محلل أمن المعلومات,
695,"Inspecting equipment, structures, and material",فحص المعدات والهيكلية والمواد,
696,Inspector/Tester,مفتش/فاحص,
697,Installation,التركيب,
698,Instructing,إصدار التعليمات,
699,Instructional Coordinator,منسق تعليمي,
700,Instrumentation Technology/Technician,تقنيات الأجهزة/فني,
701,Insulation Worker,عامل عزل,
702,Insulator,فني عزل,
703,Insurance,التأمين,
704,Insurance Claims Clerk,كاتب مطالبات التأمين,
705,Insurance Sales Agent,وكيل مبيعات التأمين,
706,Insurance Underwriter,مكتتب تأمينات,
707,Interacting With Computers,استخدام الحواسيب,
708,Interacting With Others,التعامل مع الآخرين,
709,Interior Design,التصميم الداخلي,
710,Interior Designer,مصمم داخلي,
711,Internist,اختصاصي الطب الباطني,
712,Interpersonal Relationships,العلاقات الشخصية,
713,Interpreting the Meaning of Information for Others,تفسير المقصود من المعلومات للآخرين,
714,Interviewer,موظف مقابلات,
715,Investigative,استقصائي,
716,Ironworking/Ironworker,الحدادة/حداد,
717,Ivorian scientists performs letters and memos like a human.,علماء من ساحل العاج يتوصلون إلى خوارزمية قادرة على كتابة الرسائل والملاحظات كالإنسان.,
718,Jan,يناير,
719,Janitor,بواب,
720,Janitorial Supervisor,مشرف أعمال النظافة,
721,Jeweler,جواهري,
722,Jewish/Judaic Studies,اليهودية/الدراسات اليهودية,
723,Job Analysis Specialist,أخصائي تحليل وظائف,
724,Journalism,الصحافة,
725,Judge,قاضي,
726,"Judging the Qualities of Things, Services, or People",الحكم على جودة الأشياء أو الخدمات أو طبيعة الأفراد,
727,Judgment and Decision Making,الحكم واتخاذ القرارات,
728,Judicial Law Clerk,كاتب قضائي,
729,Jul,يوليو,
730,Jun,يونيو,
731,Keeping and regaining balance,الحفاظ على التوازن واستعادته,
732,Kindergarten Teacher,مدرس روضة,
733,Kinesiology and Exercise Science,علم الحركة وعلم التمرين,
734,"Kneeling, crouching, and crawling",النزول على الركبتين، والانحناء، والزحف,
735,Labor Relations Specialist,أخصائي علاقات عمل,
736,Landscape Architect,مهندس مناظر طبيعية,
737,Landscape Architecture,هندسة المناظر الطبيعية,
738,Landscaping And Groundskeeping Worker,عامل بستنة/مناظر طبيعية,
739,Landscaping and Groundskeeping,البستنة/مناظر طبيعية,
740,"Laotian researchers unveiled an algorithm capable of drafting, laying out, and specifying technical devices, parts, and equipment.",باحثون من لاوس يكشفون عن خوارزمية قادرة على إعداد المسودات والتخطيط وتحديد مواصفات الأجهزة الفنية والقطع والمعدات.,
741,Lathe/Turning Machine Tool Operator,مشغل أدوات آلات خراطة,
742,Laundry/Dry-Cleaning Worker,عامل مغسلة/تنظيف جاف,
743,Law,القانون,
744,Law and Government,القانون والحوكمة,
745,Law and Public Safety,القانون والسلامة العامة,
746,Lawyer,محامي,
747,Learning Strategies,استراتيجيات التعلم,
748,Legal Administrative Assistant/Secretary,مساعد إداري للشؤون القانونية/سكرتير,
749,Legal Assistant/Paralegal,مساعد قانوني/مساعد محامي,
750,Legal Secretary,سكرتير قانوني,
751,Less than a High School Diploma,أقل من شهادة الثانوية العامة,
752,Librarian,أمين مكتبة,
753,Library Technician,فني مكتبات,
754,Library and Archives Assisting,مساعد مكتبات وأرشيف,
755,Library and Information Science,علم المكتبات والمعلومات,
756,Licensed Practical/Vocational Nurse,ممرض ممارس/مهني مرخص,
757,Licensed Practical/Vocational Nurse Training,تدريب ممرض ممارس/مهني مرخص,
758,"Life, Physical, And Social Science Technician",فني علوم الحياة والعلوم الفيزيائية والاجتماعية,
759,Lifeguard,منقذ,
760,Light Truck/Delivery Services Driver,سائق شاحنة خفيفة/خدمات التوصيل,
761,Lineworker,عامل خطوط الكهرباء,
762,Loan Interviewer,موظف مقابلات الحصول على الدين,
763,Loan Officer,مسؤول القروض,
764,Locker Room Attendant,موظف غرفة خزائن الملابس,
765,Locksmith,قفّال,
766,Locksmithing and Safe Repair,إصلاح الأقفال والخزنات,
767,Locomotive Engineer,مهندس قاطرات,
768,Lodging Manager,مدير سكن,
769,Log Grader,مصنّف أخشاب,
770,Logging Equipment Operator,مشغّل معدات التحطيب,
771,Logistician,خبير لوجستي,
772,Logistics Manager,مدير الخدمات اللوجستية,
773,Machine Feeder,مغذي آلات,
774,Machine Shop Technology/Assistant,تقنيات الآلات المتجرية/مساعد,
775,Machine Tool Technology/Machinist,تقنيات الماكينات/ميكانيكي,
776,Machinery Maintenance Worker,عامل صيانة آلات,
777,Machinist,ميكانيكي,
778,Magnetic Resonance Imaging (MRI) Technology/Technician,تقنية التصوير بالرنين المغناطيسي/فني,
779,Magnetic Resonance Imaging Technologist,فني تصوير بالرنين المغناطيسي,
780,Mail Clerk,كاتب بريد,
781,Maintance/Repair Worker,عامل صيانة/تصليح,
782,Maintenance/Repair Worker,عامل صيانة/تصليح,
783,Maintenance/Repair Worker Helper,مساعد عامل صيانة/تصليح,
784,Makeup Artist,فنان تجميل,
785,Making Decisions and Solving Problems,اتخاذ القرارات وحل المشكلات,
786,Making repetitive motions,تكرار الحركات,
787,"Malagasy engineers pioneered a new technique in sounds, noise levels are distracting or uncomfortable today.",بعد أن وصلت الضوضاء إلى مستويات مشتتة وغير مريحة، باحثون من مدغشقر يبتكرون تقنية جديدة في عالم الأصوات.,
788,Maldivian scientists pioneered a new technique in controlling machines and processes today.,علماء من المالديف يبتكرون تقنية جديدة في التحكم بالآلات ومراقبة العمليات اليوم.,
789,Maltese scientists performs dynamic flexibility like a human.,علماء من مالطا يتوصلون إلى خوارزمية تتميز بالمرونة، كالإنسان.,
790,Management Analyst,محلل إداري,
791,Management Science,علم الإدارة,
792,Management of Companies and Enterprises,إدارة الشركات والمؤسسات,
793,Management of Financial Resources,إدارة الموارد المالية,
794,Management of Material Resources,إدارة الموارد من المواد,
795,Management of Personnel Resources,إدارة الموارد البشرية,
796,Manager,مدير,
797,Manicurist/Pedicurist,متخصص منكير/بديكير,
798,Manual Dexterity,البراعة اليدوية,
799,Manufacturing,التصنيع,
800,Manufacturing Sales Representative,مندوب مبيعات التصنيع,
801,Manufacturing and Production,الإنتاج والتصنيع,
802,Mapping Technician,فني مخططات|,
803,Mar,مارس,
804,Marine Engineer,مهندس بحري,
805,Marine Maintenance/Fitter and Ship Repair Technology/Technician,الصيانة البحرية/مركّب آلات وتقنيات تصليح السفن/فني,
806,Marine Science/Merchant Marine Officer,علوم البحار/ضابط بحرية تجارية,
807,Market Research Analyst,محلل بحوث السوق,
808,Marketing Manager,مدير تسويق,
809,"Marketing/Marketing Management, General",التسويق/إدارة التسويق، عام,
810,Marriage And Family Therapist,خبير زواج وأسرة,
811,Marshallese engineers unveiled an algorithm capable of importance of repeating same tasks.,باحثون من جزر المارشال يكشفون عن خوارزمية قادرة على تكرار المهام نفسها,
812,Mason Helper,مساعد بنّاء,
813,Mason/Masonry,بنّاء/أعمال البناء,
814,Massage Therapist,معالج بالتدليك,
815,Massage Therapy/Therapeutic Massage,العلاج بالتدليك/التدليك العلاجي,
816,Master's Degree,درجة الماجستير,
817,Materials Engineer,مهندس مواد,
818,Materials Engineering,هندسة المواد,
819,Materials Science,علم المواد,
820,Materials Scientist,عالم مواد,
821,Mathematical Reasoning,الاستدلال الرياضي,
822,Mathematician,عالم رياضيات,
823,Mathematics,الرياضيات,
824,Mathematics and Science,الرياضيات والعلوم,
825,"Mathematics, General",رياضيات، عامة,
826,May,مايو,
827,Meat Cutting/Meat Cutter,قطع اللحوم/قاطع اللحم,
828,Meat Packer,مغلف لحوم,
829,"Meat, Poultry, Fish Cutter",مقطِّع اللحوم، الدواجن، الأسماك,
830,Mechanic Supervisor,مشرف أعمال الميكانيك,
831,Mechanical,الميكانيكا,
832,Mechanical Door Repairer,مصلح أبواب آلية,
833,Mechanical Drafter,رسام مخططات الأجهزة الميكانيكية,
834,Mechanical Engineer,مهندس ميكانيك,
835,Mechanical Engineering,الهندسة الميكانيكية,
836,Mechanical Engineering/Mechanical Technology/Technician,الهندسة الطبية/الهندسة الميكانيكية/فني,
837,Mechanical Insulation Worker,عامل عزل ميكانيكي,
838,Mechanical Technician,فني ميكانيك,
839,Medical And Health Services Manager,مدير خدمات طبية وصحية,
